 E_2 = 30 eV,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Slow deg,TDCS,TDCS,TDCS,TDCS,TDCS,TDCS,TDCS,TDCS,TDCS,TDCS,TDCS,TDCS,TDCS,TDCS,TDCS,TDCS,TDCS
,Fast 10 deg,Fast 12 deg,Fast 14 deg,Fast 16 deg,Fast 18 deg,Fast 20 deg,Fast 22 deg,Fast 22.5 deg,Fast 24 deg,Fast 25 deg,Fast 26 deg,Fast 27.5 deg,Fast 28 deg,Fast 30 deg,Fast 32 deg,Fast 34 deg,Fast 36 deg
0,2.99E-02,2.003E-02,1.613E-02,1.302E-02,9.550E-03,6.289E-03,4.215E-03,4.041E-03,3.287E-03,2.692E-03,2.765E-03,2.029E-03,2.250E-03,1.833E-03,1.625E-03,1.664E-03,1.978E-03
10,4.83E-02,3.316E-02,2.713E-02,2.253E-02,1.694E-02,1.117E-02,7.027E-03,7.473E-03,4.966E-03,5.096E-03,4.135E-03,3.772E-03,3.655E-03,3.219E-03,2.872E-03,2.796E-03,3.091E-03
20,8.08E-02,5.924E-02,5.153E-02,4.499E-02,3.542E-02,2.458E-02,1.606E-02,1.677E-02,1.121E-02,1.128E-02,8.923E-03,7.995E-03,7.563E-03,6.385E-03,5.429E-03,5.010E-03,5.211E-03
30,1.45E-01,1.103E-01,1.001E-01,9.091E-02,7.447E-02,5.413E-02,3.695E-02,3.706E-02,2.609E-02,2.437E-02,1.994E-02,1.660E-02,1.586E-02,1.258E-02,1.014E-02,8.894E-03,8.767E-03
40,2.59E-01,1.979E-01,1.776E-01,1.609E-01,1.342E-01,1.012E-01,7.227E-02,7.120E-02,5.271E-02,4.794E-02,4.046E-02,3.292E-02,3.155E-02,2.418E-02,1.859E-02,1.533E-02,1.408E-02
50,4.01E-01,3.109E-01,2.666E-01,2.261E-01,1.784E-01,1.314E-01,9.589E-02,9.528E-02,7.458E-02,7.017E-02,6.183E-02,5.291E-02,5.113E-02,4.033E-02,3.075E-02,2.403E-02,2.027E-02
60,4.84E-01,3.860E-01,3.193E-01,2.422E-01,1.575E-01,9.049E-02,5.771E-02,6.076E-02,5.298E-02,5.794E-02,5.731E-02,5.665E-02,5.666E-02,4.884E-02,3.837E-02,2.960E-02,2.379E-02
70,4.66E-01,3.902E-01,3.316E-01,2.501E-01,1.514E-01,6.989E-02,3.064E-02,3.271E-02,2.822E-02,3.507E-02,3.883E-02,4.230E-02,4.407E-02,4.040E-02,3.265E-02,2.557E-02,2.068E-02
80,4.15E-01,3.706E-01,3.420E-01,2.905E-01,2.128E-01,1.339E-01,7.855E-02,7.434E-02,5.133E-02,4.588E-02,4.054E-02,3.405E-02,3.390E-02,2.689E-02,2.037E-02,1.575E-02,1.308E-02
90,3.49E-01,3.158E-01,3.019E-01,2.713E-01,2.145E-01,1.479E-01,9.269E-02,8.821E-02,5.737E-02,4.882E-02,3.733E-02,2.742E-02,2.511E-02,1.677E-02,1.126E-02,8.153E-03,6.737E-03
100,2.45E-01,2.144E-01,2.041E-01,1.857E-01,1.490E-01,1.034E-01,6.438E-02,6.335E-02,3.881E-02,3.497E-02,2.422E-02,1.848E-02,1.564E-02,1.016E-02,6.632E-03,4.476E-03,3.391E-03
110,1.36E-01,1.142E-01,1.077E-01,9.876E-02,7.992E-02,5.564E-02,3.461E-02,3.537E-02,2.097E-02,2.052E-02,1.337E-02,1.134E-02,9.025E-03,6.315E-03,4.445E-03,3.012E-03,2.056E-03
120,6.06E-02,5.038E-02,4.688E-02,4.300E-02,3.526E-02,2.513E-02,1.626E-02,1.688E-02,1.044E-02,1.066E-02,7.095E-03,6.541E-03,5.158E-03,4.039E-03,3.259E-03,2.446E-03,1.690E-03
130,2.93E-02,2.261E-02,1.902E-02,1.600E-02,1.261E-02,9.088E-03,6.316E-03,6.442E-03,4.576E-03,4.645E-03,3.522E-03,3.437E-03,2.888E-03,2.602E-03,2.433E-03,2.103E-03,1.645E-03
140,2.65E-02,1.656E-02,1.103E-02,7.113E-03,4.312E-03,2.573E-03,1.831E-03,1.714E-03,1.692E-03,1.561E-03,1.678E-03,1.640E-03,1.651E-03,1.703E-03,1.798E-03,1.786E-03,1.652E-03
150,3.43E-02,,,,3.793E-03,1.683E-03,9.590E-04,,1.042E-03,6.224E-04,1.226E-03,,1.258E-03,1.282E-03,1.390E-03,,
160,4.21E-02,,,,6.340E-03,3.386E-03,2.046E-03,,1.779E-03,1.017E-03,1.719E-03,,1.499E-03,1.293E-03,1.267E-03,,
170,4.69E-02,,,,9.188E-03,5.589E-03,3.712E-03,,3.062E-03,2.071E-03,2.674E-03,,2.133E-03,1.657E-03,1.434E-03,,
180,4.96E-02,,,,1.105E-02,7.218E-03,5.142E-03,,4.301E-03,3.189E-03,3.713E-03,,2.949E-03,2.225E-03,1.787E-03,,
190,5.186E-02,,,,1.160E-02,7.761E-03,5.799E-03,,3.287E-03,3.87E-03,4.577E-03,,3.683E-03,2.747E-03,2.112E-03,,
200,5.459E-02,,,,1.084E-02,7.056E-03,5.450E-03,,4.966E-03,3.73E-03,4.951E-03,,4.038E-03,2.942E-03,2.180E-03,,
210,5.705E-02,,,,9.289E-03,5.474E-03,4.139E-03,,1.121E-02,2.84E-03,4.608E-03,,3.795E-03,2.656E-03,1.900E-03,,
220,5.825E-02,,,,7.918E-03,3.853E-03,2.425E-03,,2.609E-02,1.66E-03,3.591E-03,,2.991E-03,1.990E-03,1.391E-03,,
230,5.815E-02,,,,7.697E-03,3.153E-03,1.137E-03,,5.271E-02,8.36E-04,2.308E-03,,1.968E-03,1.248E-03,8.970E-04,,
240,5.778E-02,,,,8.903E-03,3.764E-03,8.718E-04,,7.458E-02,6.99E-04,1.340E-03,,1.177E-03,7.350E-04,5.930E-04,,
250,5.790E-02,,,,1.074E-02,5.101E-03,1.478E-03,,5.298E-02,1.00E-03,9.825E-04,,8.297E-04,5.195E-04,4.616E-04,,
260,5.796E-02,,,,1.199E-02,6.133E-03,2.216E-03,,2.822E-02,1.25E-03,1.034E-03,,7.724E-04,4.546E-04,3.957E-04,,
270,5.675E-02,,,,1.219E-02,6.383E-03,2.516E-03,,5.133E-02,1.25E-03,1.074E-03,,7.215E-04,3.967E-04,3.596E-04,,
280,5.396E-02,,,,1.176E-02,6.152E-03,2.394E-03,,5.737E-02,1.22E-03,8.572E-04,,5.509E-04,3.578E-04,4.237E-04,,
290,5.011E-02,,,,1.137E-02,6.084E-03,2.364E-03,,3.881E-02,1.54E-03,5.811E-04,,4.405E-04,4.910E-04,6.715E-04,,
300,4.577E-02,,,,1.152E-02,6.670E-03,2.999E-03,,2.097E-02,2.37E-03,7.458E-04,,7.041E-04,8.979E-04,1.064E-03,,
310,4.048E-02,,,,1.194E-02,7.623E-03,4.197E-03,,1.044E-02,3.32E-03,1.533E-03,,1.373E-03,1.441E-03,1.426E-03,,
320,3.360E-02,,,,1.168E-02,8.040E-03,5.187E-03,,4.576E-03,3.77E-03,2.547E-03,,2.094E-03,1.834E-03,1.590E-03,,
330,2.621E-02,,,,1.037E-02,7.471E-03,5.404E-03,,1.692E-03,3.51E-03,3.235E-03,,2.480E-03,1.899E-03,1.521E-03,,
340,2.106E-02,,,,8.674E-03,6.323E-03,4.892E-03,,1.042E-03,2.83E-03,3.304E-03,,2.412E-03,1.697E-03,1.326E-03,,
350,2.136E-02,,,,7.807E-03,5.483E-03,4.157E-03,,1.779E-03,2.31E-03,2.912E-03,,2.133E-03,1.518E-03,1.243E-03,,
360,2.988E-02,,,,9.550E-03,6.289E-03,4.215E-03,,3.062E-03,2.69E-03,2.765E-03,,2.250E-03,1.833E-03,1.625E-03,,